SERIE_INITIAL_DATA: 2010 1 01 0 0 0
TIME_UNITS: SECONDS     
seconds YY MM DD Kc  
<BeginTimeSerie>      
51926400 2011 8 25 0.4
52012800 2011 8 26 0.4
52099200 2011 8 27 0.4
52185600 2011 8 28 0.4
52272000 2011 8 29 0.4
52358400 2011 8 30 0.4
52444800 2011 8 31 0.4
52531200 2011 9 1 0.4
52617600 2011 9 2 0.4
52704000 2011 9 3 0.4
52790400 2011 9 4 0.4
52876800 2011 9 5 0.4
52963200 2011 9 6 0.4
53049600 2011 9 7 0.4
53136000 2011 9 8 0.4
53222400 2011 9 9 0.4
53308800 2011 9 10 0.4
53395200 2011 9 11 0.4
53481600 2011 9 12 0.4
53568000 2011 9 13 0.4
53654400 2011 9 14 0.4
53740800 2011 9 15 0.4
53827200 2011 9 16 0.4
53913600 2011 9 17 0.4
54000000 2011 9 18 0.4
54086400 2011 9 19 0.4
54172800 2011 9 20 0.4
54259200 2011 9 21 0.4
54345600 2011 9 22 0.4
54432000 2011 9 23 0.4
54518400 2011 9 24 0.4
54604800 2011 9 25 0.4
54691200 2011 9 26 0.4
54777600 2011 9 27 0.4
54864000 2011 9 28 0.4
54950400 2011 9 29 0.4
55036800 2011 9 30 0.4
55123200 2011 10 1 0.4
55209600 2011 10 2 0.4
55296000 2011 10 3 0.4
55382400 2011 10 4 0.4
55468800 2011 10 5 0.4
55555200 2011 10 6 0.4
55641600 2011 10 7 0.4
55728000 2011 10 8 0.4
55814400 2011 10 9 0.4
55900800 2011 10 10 0.4
55987200 2011 10 11 0.4
56073600 2011 10 12 0.4
56160000 2011 10 13 0.4
56246400 2011 10 14 0.4
56332800 2011 10 15 0.4
56419200 2011 10 16 0.4
56505600 2011 10 17 0.4
56592000 2011 10 18 0.4
56678400 2011 10 19 0.4
56764800 2011 10 20 0.4
56851200 2011 10 21 0.4
56937600 2011 10 22 0.4
57024000 2011 10 23 0.4
57110400 2011 10 24 0.4
57196800 2011 10 25 0.4
57283200 2011 10 26 0.4
57369600 2011 10 27 0.4
